Year,State,URL
2024,California,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/California_PYs_2024-2027.docx
2024,Colorado,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Colorado_PYs_2024-2027.docx
2024,Connecticut,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Connecticut_PYs_2024-2027.docx
2024,Delaware,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Delaware_PYs_2024-2027.docx
2024,District of Columbia,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/District_of_Columbia_PYs_2024-2027.docx
2024,Florida,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Florida_PYs_2024-2027.docx
2024,Georgia,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Georgia_PYs_2024-2027.docx
2024,Guam,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Guam_PYs_2024-2027.docx
2024,Hawaii,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Hawaii_PYs_2024-2027.docx
2024,Idaho,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Idaho_PYs_2024-2027.docx
2024,Illinois,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Illinois_PYs_2024-2027.docx
2024,Indiana,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Indiana_PYs_2024-2027.docx
2024,Iowa,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Iowa_PYs_2024-2027.docx
2024,Kansas,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Kansas_PYs_2024-2027.docx
2024,Kentucky,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Kentucky_PYs_2024-2027.docx
2024,Louisiana,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Louisiana_PYs_2024-2027.docx
2024,Maine,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Maine_PYs_2024-2027.docx
2024,Maryland,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Maryland_PYs_2024-2027.docx
2024,Massachusetts,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Massachusetts_PYs_2024-2027.docx
2024,Michigan,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Michigan_PYs_2024-2027.docx
2024,Minnesota,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Minnesota_PYs_2024-2027.docx
2024,Mississippi,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Mississippi_PYs_2024-2027.docx
2024,Missouri,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Missouri_PYs_2024-2027.docx
2024,Montana,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Montana_PYs_2024-2027.docx
2024,Nebraska,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Nebraska_PYs_2024-2027.docx
2024,Nevada,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Nevada_PYs_2024-2027.docx
2024,New Hampshire,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/New_Hampshire_PYs_2024-2027.docx
2024,New Jersey,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/New_Jersey_PYs_2024-2027.docx
